Name|Category|Phone|Address|Rating|Review Count|Website|Pitch Strategy
Way2be LLC|Handyman/Handywoman/Handyperson|(515) 316-9649|||||FB As Website (Pitch Custom Website Build & FB Ads)
Airport Xpress Market|Supermarket|(512) 385-1053|2777 E Hwy 71 SUITE A, Del Valle, TX 78617|4.2|117||FB As Website (Pitch Custom Website Build & FB Ads)
Al's New York Pizza|Pizza restaurant|(304) 955-5461|5636 US-60 APT 4, Barboursville, WV 25504|4.5|301||FB As Website (Pitch Custom Website Build & FB Ads)
Hmong House Restaurant & Banquet LLC|Southeast Asian restaurant|(651) 350-7165|2112 11th Ave E, North St Paul, MN 55109|3.8|196||FB As Website (Pitch Custom Website Build & FB Ads)
Cartersville Nutrition|Health food restaurant|(678) 586-9498|101 S Dixie Ave, Cartersville, GA 30120|4.7|76||FB As Website (Pitch Custom Website Build & FB Ads)
Power Station Nutrition Cafe|Health food restaurant|(602) 298-2609|244 E Greenway Pkwy, Phoenix, AZ 85022|5.0|||FB As Website (Pitch Custom Website Build & FB Ads)
O'Lacy's|Irish pub|(585) 343-3270|5 School St, Batavia, NY 14020|4.7|||FB As Website (Pitch Custom Website Build & FB Ads)
Morgan's Tap & Grill|American restaurant|(260) 747-0816|8421 Bluffton Rd, Fort Wayne, IN 46809|4.7|||FB As Website (Pitch Custom Website Build & FB Ads)
Los Panchitos at The Paseo|Mexican restaurant|(325) 653-5814|34 E Ave D, San Angelo, TX 76903|4.2|||FB As Website (Pitch Custom Website Build & FB Ads)
Middleburg Dairy Freeze|Ice cream shop|(606) 221-1228|2622 KY-198, Middleburg, KY 42541|5.0|4||FB As Website (Pitch Custom Website Build & FB Ads)
La Fogata Outdoor Food & Drinks|Restaurant|+1 787-469-3397|PR-941, Gurabo, 00778, Puerto Rico|4.3|943||FB As Website (Pitch Custom Website Build & FB Ads)
Our Place Diner|Restaurant|(334) 445-2777|2751 US-231, Ozark, AL 36360|4.6|1817||FB As Website (Pitch Custom Website Build & FB Ads)
Christy Park Cones|Ice cream shop|(412) 780-4303|2819 Walnut St, McKeesport, PA 15132|4.7|190||FB As Website (Pitch Custom Website Build & FB Ads)
Elite Clean by KAT|House cleaning service|(724) 708-4519|||||FB As Website (Pitch Custom Website Build & FB Ads)
Malinda Restaurant|Restaurant|(830) 775-1511|2101 Veterans Blvd, Del Rio, TX 78840|4.4|15||FB As Website (Pitch Custom Website Build & FB Ads)
Bailey Ray's Roadhouse|Bar & grill|(763) 856-8900|2120 165th Ave SE, Santiago, MN 55377|4.6|510||FB As Website (Pitch Custom Website Build & FB Ads)
